task,dataset,searcher,budget,B,val_loss,test_loss,gen_gap,winner_stability,eps_coverage,selection_entropy,mean_winner_dist,seed,run_id,elapsed,original_winner
xgboost,breast_cancer,bayesian_opt,20,30,0.007299270072992692,0.03508771929824561,0.02778844922525292,0.03333333333333333,0.43333333333333335,0.9164253170792144,0.2386599784582799,42,xgboost__breast_cancer__bayesian_opt__b20__s42,30.3,
svm_rbf,breast_cancer,bayesian_opt,40,100,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.21,0.99,0.9125469433686147,0.18749768423881005,42,svm_rbf__breast_cancer__bayesian_opt__b40__s42,21.5,"{'C': 601.4788433099958, 'gamma': 0.0011732356609382207}"
svm_rbf,wine,random_search,40,100,0.0,0.02777777777777779,0.02777777777777779,0.17,0.85,0.9885354204702325,0.21693859961894188,42,svm_rbf__wine__random_search__b40__s42,7.8,"{'C': 92.42448343433196, 'gamma': 0.1439865731152542}"
xgboost,breast_cancer,random_search,20,50,0.0,0.02631578947368418,0.02631578947368418,0.04,0.2,0.9142176342051336,0.4192299588611069,999,xgboost__breast_cancer__random_search__b20__s999,54.6,
svm_rbf,wine,random_search,20,100,0.0,0.02777777777777779,0.02777777777777779,0.1,0.91,0.9634320667809975,0.22550185445086687,42,svm_rbf__wine__random_search__b20__s42,3.9,"{'C': 92.42448343433196, 'gamma': 0.1439865731152542}"
svm_rbf,wine,bayesian_opt,20,80,0.0,0.0,0.0,0.075,0.8625,0.9485952365914772,0.24508290094456592,42,svm_rbf__wine__bayesian_opt__b20__s42,4.5,"{'C': 16.701298355326777, 'gamma': 0.00029839645042190467}"
svm_rbf,breast_cancer,bayesian_opt,20,100,0.007299270072992692,0.02631578947368418,0.01901651940069149,0.07,0.5,0.9086495162138675,0.2088453501906238,123,svm_rbf__breast_cancer__bayesian_opt__b20__s123,11.3,"{'C': 14.469495392172318, 'gamma': 0.0007100015685048694}"
svm_rbf,breast_cancer,bayesian_opt,40,100,0.007299270072992692,0.01754385964912286,0.01024458957613017,0.12,0.54,0.9206669797417112,0.1850297256249036,999,svm_rbf__breast_cancer__bayesian_opt__b40__s999,21.4,"{'C': 12.778338459352158, 'gamma': 0.0008365826958585285}"
svm_rbf,breast_cancer,bayesian_opt,40,100,0.0,0.03508771929824561,0.03508771929824561,0.14,0.24,0.9810573174969117,0.2564861710434996,123,svm_rbf__breast_cancer__bayesian_opt__b40__s123,22.4,"{'C': 165.17402516763195, 'gamma': 0.00011596397603240076}"
xgboost,breast_cancer,random_search,20,50,0.007299270072992692,0.00877192982456143,0.001472659751568739,0.04,0.46,0.9221150286031746,0.3621173146036189,123,xgboost__breast_cancer__random_search__b20__s123,54.9,
xgboost,breast_cancer,random_search,40,30,0.014598540145985384,0.04385964912280704,0.02926110897682166,0.0,0.7,0.9586044466395968,0.3712812406218961,42,xgboost__breast_cancer__random_search__b40__s42,65.2,
svm_rbf,breast_cancer,successive_halving,40,100,0.014598540145985384,0.03508771929824561,0.02048917915226023,0.17,0.78,0.9712577930110122,0.1895602943354792,999,svm_rbf__breast_cancer__successive_halving__b40__s999,18.4,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
svm_rbf,wine,successive_halving,20,80,0.0,0.0,0.0,0.1875,0.725,0.8639194931804393,0.20062730457471858,999,svm_rbf__wine__successive_halving__b20__s999,2.1,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
svm_rbf,wine,random_search,40,80,0.0,0.0,0.0,0.1875,0.85,0.9809798645946535,0.21648122437715203,999,svm_rbf__wine__random_search__b40__s999,6.3,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
xgboost,breast_cancer,bayesian_opt,20,30,0.007299270072992692,0.0,-0.007299270072992692,0.0,0.4666666666666667,0.9243323054386987,0.3226709783878183,123,xgboost__breast_cancer__bayesian_opt__b20__s123,30.4,
xgboost,breast_cancer,random_search,20,50,0.014598540145985384,0.04385964912280704,0.02926110897682166,0.02,0.74,0.9611735563479445,0.3772055259020264,42,xgboost__breast_cancer__random_search__b20__s42,59.8,
svm_rbf,breast_cancer,random_search,20,100,0.014598540145985384,0.03508771929824561,0.02048917915226023,0.16,0.67,0.9426139974264877,0.18885340056260172,999,svm_rbf__breast_cancer__random_search__b20__s999,10.4,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
svm_rbf,breast_cancer,successive_halving,20,100,0.014598540145985384,0.03508771929824561,0.02048917915226023,0.22,0.6,0.9131985533015314,0.1834692517943615,999,svm_rbf__breast_cancer__successive_halving__b20__s999,6.1,"{'C': 47.09232206276549, 'gamma': 0.0007265126056902575}"
svm_rbf,wine,bayesian_opt,40,80,0.0,0.0,0.0,0.0875,0.8875,0.9540815797976904,0.24513225981714742,42,svm_rbf__wine__bayesian_opt__b40__s42,9.9,"{'C': 16.701298355326777, 'gamma': 0.00029839645042190467}"
svm_rbf,wine,bayesian_opt,20,80,0.0,0.02777777777777779,0.02777777777777779,0.2125,0.8,0.9641323484580956,0.23095574179050543,999,svm_rbf__wine__bayesian_opt__b20__s999,4.4,"{'C': 0.5742579488638057, 'gamma': 0.06702826673589929}"
svm_rbf,breast_cancer,successive_halving,40,100,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.22,1.0,0.9244300049411699,0.14673475338457664,42,svm_rbf__breast_cancer__successive_halving__b40__s42,18.2,"{'C': 44.02874346669272, 'gamma': 0.015645599135697307}"
svm_rbf,wine,random_search,20,100,0.0,0.0,0.0,0.19,0.85,0.9746241684387014,0.23424837887272165,123,svm_rbf__wine__random_search__b20__s123,4.0,"{'C': 0.9699153017673735, 'gamma': 0.0819640110272004}"
svm_rbf,wine,random_search,40,100,0.0,0.0,0.0,0.24,0.87,0.9426793900008683,0.2239068702206276,123,svm_rbf__wine__random_search__b40__s123,8.0,"{'C': 0.9699153017673735, 'gamma': 0.0819640110272004}"
