osc,delta_mean,delta_lo,delta_hi
0.0,0.10054028106602073,0.0820116430205781,0.11906891911146335
0.02040816326530612,0.09889426672565575,0.08083624469434647,0.11695228875696503
0.04081632653061224,0.09724825238529079,0.07965886715492163,0.11483763761565996
0.061224489795918366,0.09560223804492582,0.07847934789412894,0.1127251281957227
0.08163265306122448,0.09395622370456086,0.07729750698672708,0.11061494042239464
0.1020408163265306,0.09231020936419589,0.07611314483111883,0.10850727389727294
0.12244897959183673,0.09066419502383091,0.07492603955607863,0.1064023504915832
0.14285714285714285,0.08901818068346595,0.07373594404086453,0.10430041732606737
0.16326530612244897,0.08737216634310098,0.07254258248823008,0.10220175019797188
0.18367346938775508,0.085726152002736,0.07134564648131303,0.10010665752415898
0.2040816326530612,0.08408013766237105,0.07014479044640419,0.0980154848783379
0.22448979591836732,0.08243412332200607,0.06893962643467143,0.09592862020934072
0.24489795918367346,0.0807881089816411,0.0677297181278696,0.0938464998354126
0.26530612244897955,0.07914209464127614,0.06651457396727634,0.09176961531527594
0.2857142857142857,0.07749608030091117,0.06529363930373475,0.08969852129808759
0.3061224489795918,0.0758500659605462,0.06406628747307873,0.08763384444801368
0.32653061224489793,0.07420405162018123,0.06283180972033225,0.08557629352003021
0.3469387755102041,0.07255803727981626,0.06158940393511417,0.08352667062451835
0.36734693877551017,0.0709120229394513,0.06033816222979607,0.08148588364910653
0.3877551020408163,0.06926600859908633,0.05907705750494908,0.07945495969322357
0.4081632653061224,0.06761999425872137,0.05780492932133553,0.0774350591961072
0.42857142857142855,0.06597397991835639,0.05652046965569041,0.07542749018102238
0.44897959183673464,0.06432796557799142,0.055222209481850276,0.07343372167413256
0.4693877551020408,0.06268195123762646,0.0539085076085067,0.07145539486674622
0.4897959183673469,0.061035936897261486,0.05257754382415813,0.06949432997036484
0.5102040816326531,0.05938992255689651,0.051227319119282154,0.06755252599451086
0.5306122448979591,0.05774390821653155,0.04985566648498993,0.06563214994807318
0.5510204081632653,0.05609789387616658,0.048460276342827666,0.0637355114095055
0.5714285714285714,0.05445187953580161,0.047038740741016556,0.06186501833058667
0.5918367346938775,0.05280586519543664,0.04558861965224091,0.06002311073863237
0.6122448979591836,0.05115985085507168,0.04410753060527727,0.05821217110486609
0.6326530612244897,0.04951383651470671,0.04259325923998519,0.056434413789428234
0.6530612244897959,0.04786782217434174,0.04104388343194569,0.05469176091673779
0.673469387755102,0.04622180783397677,0.03945789836242072,0.05298571730553283
0.6938775510204082,0.0445757934936118,0.03783432600101881,0.05131726098620479
0.7142857142857142,0.04292977915324684,0.03617279182139397,0.04968676648509971
0.7346938775510203,0.04128376481288187,0.034473555353048586,0.04809397427271515
0.7551020408163265,0.0396377504725169,0.032737488940833115,0.046538012004200685
0.7755102040816326,0.037991736132151926,0.030966008642466757,0.045017463621837096
0.7959183673469387,0.03634572179178697,0.02916096949627596,0.043530474087297974
0.8163265306122448,0.03469970745142199,0.02732454199082156,0.04207487291202243
0.836734693877551,0.03305369311105702,0.02545908668086811,0.04064829954124593
0.8571428571428571,0.03140767877069206,0.02356704044702542,0.0392483170943587
0.8775510204081632,0.029761664430327087,0.021650822732298246,0.03787250612835592
0.8979591836734693,0.028115650089962127,0.01971276498939893,0.03651853519052532
0.9183673469387754,0.026469635749597153,0.017755062655583853,0.035184208843610454
0.9387755102040816,0.02482362140923218,0.01577974659567,0.03386749622279436
0.9591836734693877,0.02317760706886722,0.013788669945277651,0.03256654419245679
0.9795918367346939,0.021531592728502247,0.011783506238687826,0.03127967921831667
1.0,0.019885578388137273,0.009765755200455748,0.030005401575818796
