noise_label,noise_rate,searcher,seed,osc,ctrl_gap,trt_gap,delta_gap
high_osc,0.0,random_search,0,0.975,0.1463289911285125,0.0780959824695144,0.068233008658998
high_osc,0.0,random_search,1,0.825,0.1158504195256,0.1697473285447027,-0.0538969090191027
high_osc,0.0,random_search,2,0.925,0.0463433652229761,0.074299895509625,-0.0279565302866489
high_osc,0.0,random_search,3,1.0,-0.0075752161694915,0.0600822350834157,-0.0676574512529072
high_osc,0.0,random_search,4,0.725,0.1207559949026558,0.1125139701564594,0.0082420247461963
high_osc,0.0,random_search,5,0.925,-0.0006254424660951,-0.1167575579813453,0.1161321155152501
high_osc,0.0,random_search,6,0.85,0.0132448441346607,0.1403400474949275,-0.1270952033602668
high_osc,0.0,random_search,7,0.975,0.0286329141254244,0.1557400738522003,-0.1271071597267759
high_osc,0.0,random_search,8,0.95,0.011719138199414,0.0152745373492578,-0.0035553991498438
high_osc,0.0,random_search,9,1.0,-0.0976462331089466,-0.0597660907827423,-0.0378801423262042
high_osc,0.0,random_search,10,1.0,-0.0977019667258407,0.1078488256656408,-0.2055507923914815
high_osc,0.0,random_search,11,0.925,-0.068722692644229,-0.1435201973063151,0.0747975046620861
high_osc,0.0,random_search,12,0.95,0.0974195886796551,0.1291639129746515,-0.0317443242949964
high_osc,0.0,random_search,13,0.95,0.0640010967350288,0.035380193328067,0.0286209034069617
high_osc,0.0,random_search,14,0.95,-0.0276758308929555,-0.2130321545511078,0.1853563236581522
high_osc,0.0,bayesian_opt,0,0.975,0.1422342512171811,0.0580097047173258,0.0842245464998553
high_osc,0.0,bayesian_opt,1,0.875,0.1338008640104102,0.1650375333853955,-0.0312366693749852
high_osc,0.0,bayesian_opt,2,0.975,0.0659609930930327,0.0984342466102291,-0.0324732535171964
high_osc,0.0,bayesian_opt,3,1.0,0.0113398317246175,0.0636423111466966,-0.0523024794220791
high_osc,0.0,bayesian_opt,4,0.7,0.1251657677162591,0.1261369298290471,-0.000971162112788
high_osc,0.0,bayesian_opt,5,0.925,-0.0052269423164198,-0.1295790211318375,0.1243520788154176
high_osc,0.0,bayesian_opt,6,0.925,0.0417837962496672,0.1965258564823768,-0.1547420602327096
high_osc,0.0,bayesian_opt,7,0.9,0.0558847324760221,0.145808056461432,-0.0899233239854099
high_osc,0.0,bayesian_opt,8,0.95,-0.0049469623148981,0.0080885804023375,-0.0130355427172356
high_osc,0.0,bayesian_opt,9,0.95,-0.1065242245380434,-0.1111322018421199,0.0046079773040764
