searcher,seed,osc,low_osc,ctrl_gap,trt_gap,delta_gap
random_search,0,0.85,False,-0.001408631066717847,-0.02772442054040203,0.02631578947368418
random_search,1,0.8833333333333333,False,0.014662568830836276,-0.02772442054040203,0.042386989371238304
random_search,2,0.9,False,-0.010180560891279278,-0.002881290818286586,-0.007299270072992692
random_search,3,0.8166666666666667,False,0.005890639006274845,-0.010180560891279278,0.016071199897554123
random_search,4,0.75,False,0.004417979254706106,-0.020425150467409336,0.024843129722115442
random_search,5,0.7833333333333333,False,6.402868485089197e-05,-0.010180560891279278,0.01024458957613017
random_search,6,0.55,True,0.013189909079267537,-0.02772442054040203,0.040914329619669565
random_search,7,0.7833333333333333,False,-0.011653220642847906,-0.001408631066717847,-0.010244589576130059
random_search,8,0.8,False,0.016135228582405015,-0.002881290818286586,0.0190165194006916
random_search,9,0.6833333333333333,False,0.004417979254706106,-0.010180560891279278,0.014598540145985384
random_search,10,0.5833333333333334,True,0.004417979254706106,-0.02772442054040203,0.032142399795108134
random_search,11,0.9166666666666666,False,-0.005762581636573172,-0.010180560891279278,0.004417979254706106
random_search,12,0.6666666666666666,False,0.021961838903828967,-0.02772442054040203,0.049686259444230996
random_search,13,0.8166666666666667,False,-0.020425150467409336,-0.02772442054040203,0.007299270072992692
random_search,14,0.38333333333333336,True,0.02048917915226023,-0.018952490715840598,0.039441669868100826
random_search,15,0.8166666666666667,False,-0.020425150467409336,-0.010180560891279278,-0.010244589576130059
random_search,16,0.7166666666666667,False,-0.004353950569855214,-0.020425150467409336,0.016071199897554123
random_search,17,0.5666666666666667,True,0.004417979254706106,-0.010180560891279278,0.014598540145985384
random_search,18,0.7666666666666667,False,0.023434498655397706,-0.010180560891279278,0.033615059546676984
random_search,19,0.7666666666666667,False,0.023434498655397706,-0.020425150467409336,0.04385964912280704
bayesian_opt,0,0.9,False,-0.023306441285696033,-0.020425150467409336,-0.002881290818286697
bayesian_opt,1,0.75,False,0.021961838903828967,-0.02772442054040203,0.049686259444230996
bayesian_opt,2,0.9666666666666667,False,0.00153668843641952,-0.02772442054040203,0.029261108976821548
bayesian_opt,3,0.8833333333333333,False,-0.010180560891279278,-0.002881290818286586,-0.007299270072992692
bayesian_opt,4,0.7166666666666667,False,-0.020425150467409336,-0.002881290818286586,-0.01754385964912275
bayesian_opt,5,0.7833333333333333,False,-0.020425150467409336,-0.020425150467409336,0.0
bayesian_opt,6,0.7166666666666667,False,-0.002881290818286586,-0.010180560891279278,0.007299270072992692
bayesian_opt,7,0.65,False,0.004417979254706106,-0.020425150467409336,0.024843129722115442
bayesian_opt,8,0.45,True,0.002945319503137478,-0.020425150467409336,0.023370469970546814
bayesian_opt,9,0.7333333333333333,False,0.005890639006274845,-0.001408631066717847,0.007299270072992692
bayesian_opt,10,0.8166666666666667,False,0.014662568830836276,-0.02772442054040203,0.042386989371238304
bayesian_opt,11,0.7666666666666667,False,-0.011653220642847906,-0.010180560891279278,-0.001472659751568628
bayesian_opt,12,0.8,False,0.024907158406966334,-0.018952490715840598,0.04385964912280693
bayesian_opt,13,0.95,False,0.00153668843641952,-0.018952490715840598,0.020489179152260117
bayesian_opt,14,0.5833333333333334,True,-0.013125880394416645,-0.002881290818286586,-0.010244589576130059
bayesian_opt,15,0.9333333333333333,False,-0.007235241388141911,-0.02772442054040203,0.020489179152260117
bayesian_opt,16,0.6833333333333333,False,-0.011653220642847906,-0.011653220642847906,0.0
bayesian_opt,17,0.5666666666666667,True,0.030733768728390398,-0.02772442054040203,0.058458189268792426
bayesian_opt,18,0.9,False,-0.029133051607119986,-0.02772442054040203,-0.001408631066717958
bayesian_opt,19,0.6166666666666667,False,0.004417979254706106,-0.001408631066717847,0.005826610321423953
successive_halving,0,0.7333333333333333,False,-0.001408631066717847,-0.020425150467409336,0.01901651940069149
successive_halving,1,0.8666666666666667,False,-0.029133051607119986,-0.013125880394416645,-0.01600717121270334
successive_halving,2,0.7833333333333333,False,-0.010180560891279278,-0.002881290818286586,-0.007299270072992692
successive_halving,3,0.7666666666666667,False,6.402868485089197e-05,-0.002881290818286586,0.002945319503137478
successive_halving,4,0.6666666666666666,False,0.004417979254706106,-0.013125880394416645,0.01754385964912275
successive_halving,5,0.7166666666666667,False,6.402868485089197e-05,-0.011653220642847906,0.011717249327698798
successive_halving,6,0.5166666666666667,True,0.014662568830836276,-0.011653220642847906,0.02631578947368418
successive_halving,7,0.6333333333333333,False,-0.011653220642847906,-0.011653220642847906,0.0
successive_halving,8,0.7,False,0.016135228582405015,-0.020425150467409336,0.03656037904981435
successive_halving,9,0.48333333333333334,True,0.004417979254706106,-0.010180560891279278,0.014598540145985384
successive_halving,10,0.6,False,0.004417979254706106,-0.002881290818286586,0.007299270072992692
successive_halving,11,0.8333333333333334,False,-0.03643232168011268,-0.010180560891279278,-0.0262517607888334
successive_halving,12,0.9166666666666666,False,-0.029004994237418424,-0.011653220642847906,-0.01735177359457052
successive_halving,13,0.7166666666666667,False,-0.020425150467409336,-0.020425150467409336,0.0
successive_halving,14,0.3,True,0.02048917915226023,-0.02772442054040203,0.04821359969266226
successive_halving,15,0.8333333333333334,False,-0.014534511461134603,-0.011653220642847906,-0.002881290818286697
successive_halving,16,0.5833333333333334,True,-0.004353950569855214,-0.020425150467409336,0.016071199897554123
successive_halving,17,0.5,True,0.004417979254706106,-0.010180560891279278,0.014598540145985384
successive_halving,18,0.6333333333333333,False,0.023434498655397706,-0.02772442054040203,0.051158919195799735
successive_halving,19,0.9833333333333333,False,-0.0038417210910487443,-0.013125880394416645,0.0092841593033679
