noise_label,noise_rate,searcher,dataset,seed,osc,ws,ctrl_gap,trt_gap,delta_gap
low_osc,0.3,random_search,breast_cancer,0,0.8666666666666667,0.1,0.054488410808042,-0.0101805608912792,0.0646689716993212
low_osc,0.3,random_search,breast_cancer,1,0.5,0.2,0.1129466000768344,-0.0116532206428479,0.1245998207196823
low_osc,0.3,random_search,breast_cancer,2,0.2333333333333333,0.0666666666666666,0.1100012805736969,0.0044179792547061,0.1055833013189908
low_osc,0.3,random_search,breast_cancer,3,0.0,0.1,0.0880394416698681,-0.0101805608912792,0.0982200025611473
low_osc,0.3,random_search,breast_cancer,4,0.1666666666666666,0.0666666666666666,0.0631963119477526,-0.0189524907158405,0.0821488026635932
low_osc,0.3,random_search,breast_cancer,5,0.8666666666666667,0.2333333333333333,0.0296452810859264,-0.0131258803944166,0.0427711614803431
low_osc,0.3,random_search,breast_cancer,6,0.5333333333333333,0.2,0.0851581508515815,-0.0101805608912792,0.0953387117428608
low_osc,0.3,random_search,breast_cancer,7,0.7666666666666667,0.2,0.0018568318606735,-0.0028812908182865,0.0047381226789601
low_osc,0.3,random_search,breast_cancer,8,0.8333333333333334,0.0333333333333333,0.0632603406326034,-0.0116532206428479,0.0749135612754513
low_osc,0.3,random_search,breast_cancer,9,0.8333333333333334,0.1,0.0384172109104878,-0.0101805608912792,0.0485977718017671
low_osc,0.3,random_search,wine,0,0.3,0.2,-0.0193798449612403,-0.0232558139534884,0.003875968992248
low_osc,0.3,random_search,wine,1,0.9,0.1,-0.065891472868217,-0.0232558139534884,-0.0426356589147286
low_osc,0.3,random_search,wine,2,0.2,0.2333333333333333,0.063953488372093,-0.0232558139534884,0.0872093023255814
low_osc,0.3,random_search,wine,3,0.7333333333333333,0.1,0.0684754521963824,-0.0232558139534884,0.0917312661498708
low_osc,0.3,random_search,wine,4,0.7,0.1333333333333333,0.0452196382428941,-0.0232558139534884,0.0684754521963825
low_osc,0.3,random_search,wine,5,0.5333333333333333,0.1333333333333333,0.1240310077519379,-0.0232558139534884,0.1472868217054264
low_osc,0.3,random_search,wine,6,0.1666666666666666,0.2,0.003875968992248,-0.0232558139534884,0.0271317829457364
low_osc,0.3,random_search,wine,7,0.9333333333333332,0.3,-0.0613695090439276,-0.0232558139534884,-0.0381136950904392
low_osc,0.3,random_search,wine,8,0.6333333333333333,0.1,0.0406976744186046,-0.0232558139534884,0.063953488372093
low_osc,0.3,random_search,wine,9,0.8666666666666667,0.2333333333333333,0.0452196382428941,-0.0232558139534884,0.0684754521963825
low_osc,0.3,bayesian_opt,breast_cancer,0,0.7666666666666667,0.0666666666666666,0.0018568318606735,-0.0204251504674093,0.0222819823280828
low_osc,0.3,bayesian_opt,breast_cancer,1,0.9333333333333332,0.2333333333333333,0.0998207196824176,-0.0189524907158405,0.1187732103982582
low_osc,0.3,bayesian_opt,breast_cancer,2,0.7,0.1666666666666666,0.0866308106031501,-0.0189524907158405,0.1055833013189907
low_osc,0.3,bayesian_opt,breast_cancer,3,0.1333333333333333,0.0666666666666666,0.1318990907926751,-0.0204251504674093,0.1523242412600844
low_osc,0.3,bayesian_opt,breast_cancer,4,0.7333333333333333,0.1,0.0705596107055961,-0.0028812908182865,0.0734409015238827
low_osc,0.3,bayesian_opt,breast_cancer,5,0.9666666666666668,0.0,-0.0142143680368804,-0.0116532206428479,-0.0025611473940325
low_osc,0.3,bayesian_opt,breast_cancer,6,0.7333333333333333,0.1,0.0252273018312203,-0.0174798309642719,0.0427071327954923
low_osc,0.3,bayesian_opt,breast_cancer,7,0.9333333333333332,0.2333333333333333,0.1012933794339864,-0.0028812908182865,0.104174670252273
low_osc,0.3,bayesian_opt,breast_cancer,8,0.2333333333333333,0.1666666666666666,0.0558970418747598,-0.027724420540402,0.0836214624151618
low_osc,0.3,bayesian_opt,breast_cancer,9,0.1666666666666666,0.1,0.0544243821231912,-0.0101805608912792,0.0646049430144705
low_osc,0.3,bayesian_opt,wine,0,1.0,0.0666666666666666,0.026485788113695,-0.0232558139534884,0.0497416020671834
low_osc,0.3,bayesian_opt,wine,1,0.5,0.1333333333333333,0.0917312661498708,-0.0232558139534884,0.1149870801033592
low_osc,0.3,bayesian_opt,wine,2,0.8333333333333334,0.0666666666666666,-0.0381136950904392,-0.0465116279069767,0.0083979328165374
low_osc,0.3,bayesian_opt,wine,3,0.2333333333333333,0.1333333333333333,0.1149870801033592,-0.0465116279069767,0.1614987080103359
low_osc,0.3,bayesian_opt,wine,4,0.3666666666666666,0.1333333333333333,0.2028423772609818,-0.0232558139534884,0.2260981912144702
low_osc,0.3,bayesian_opt,wine,5,0.9666666666666668,0.0666666666666666,-0.0290697674418605,-0.0232558139534884,-0.0058139534883721
low_osc,0.3,bayesian_opt,wine,6,0.9333333333333332,0.2,0.1841085271317829,-0.0232558139534884,0.2073643410852713
low_osc,0.3,bayesian_opt,wine,7,0.4666666666666667,0.0333333333333333,0.0361757105943152,-0.0232558139534884,0.0594315245478036
low_osc,0.3,bayesian_opt,wine,8,0.2333333333333333,0.0333333333333333,0.0361757105943152,-0.0232558139534884,0.0594315245478036
low_osc,0.3,bayesian_opt,wine,9,0.4,0.0666666666666666,0.0917312661498708,-0.0465116279069767,0.1382428940568475
low_osc,0.3,successive_halving,breast_cancer,0,0.7666666666666667,0.0,-0.0345754898194391,-0.0116532206428479,-0.0229222691765912
low_osc,0.3,successive_halving,breast_cancer,1,0.2333333333333333,0.1666666666666666,-0.0083877577154565,-0.027724420540402,0.0193366628249455
low_osc,0.3,successive_halving,breast_cancer,2,0.4,0.0666666666666666,0.0355359200922013,-0.0204251504674093,0.0559610705596106
low_osc,0.3,successive_halving,breast_cancer,3,0.6666666666666666,0.0666666666666666,-0.0141503393520298,-0.027724420540402,0.0135740811883722
low_osc,0.3,successive_halving,breast_cancer,4,0.7666666666666667,0.3333333333333333,-0.0229222691765911,-0.0204251504674093,-0.0024971187091817
low_osc,0.3,successive_halving,breast_cancer,5,0.2,0.2,-0.0244589576130106,-0.0204251504674093,-0.0040338071456013
low_osc,0.3,successive_halving,breast_cancer,6,0.1,0.1,-0.0010884876424638,-0.0204251504674093,0.0193366628249455
low_osc,0.3,successive_halving,breast_cancer,7,1.0,0.0333333333333333,-0.0199129209886028,-0.0116532206428479,-0.0082597003457549
low_osc,0.3,successive_halving,breast_cancer,8,0.1333333333333333,0.1333333333333333,0.104174670252273,-0.0131258803944166,0.1173005506466896
low_osc,0.3,successive_halving,breast_cancer,9,0.6666666666666666,0.2,0.1028300678704059,-0.0116532206428479,0.1144832885132538
low_osc,0.3,successive_halving,wine,0,0.9333333333333332,0.0333333333333333,-0.0387596899224805,-0.0232558139534884,-0.0155038759689921
low_osc,0.3,successive_halving,wine,1,0.5,0.2333333333333333,-0.0012919896640827,-0.0232558139534884,0.0219638242894056
low_osc,0.3,successive_halving,wine,2,0.0666666666666666,0.0666666666666666,0.1750645994832042,-0.0232558139534884,0.1983204134366926
low_osc,0.3,successive_halving,wine,3,0.4333333333333333,0.0,-0.0012919896640827,-0.0232558139534884,0.0219638242894056
low_osc,0.3,successive_halving,wine,4,0.9,0.0666666666666666,-0.0342377260981912,-0.0232558139534884,-0.0109819121447027
low_osc,0.3,successive_halving,wine,5,0.8,0.0666666666666666,-0.1543927648578811,-0.0232558139534884,-0.1311369509043927
low_osc,0.3,successive_halving,wine,6,0.4666666666666667,0.1666666666666666,0.0310077519379845,-0.0465116279069767,0.0775193798449612
low_osc,0.3,successive_halving,wine,7,0.0,0.2333333333333333,0.1983204134366926,-0.0232558139534884,0.221576227390181
low_osc,0.3,successive_halving,wine,8,0.1333333333333333,0.0333333333333333,0.0684754521963824,-0.0232558139534884,0.0917312661498708
low_osc,0.3,successive_halving,wine,9,0.4,0.2,0.0032299741602067,-0.0232558139534884,0.0264857881136951
med_osc,0.1,random_search,breast_cancer,0,0.9333333333333332,0.2,0.0557049558202075,-0.0028812908182865,0.0585862466384941
med_osc,0.1,random_search,breast_cancer,1,0.9,0.2666666666666666,0.0542322960686387,-0.0028812908182865,0.0571135868869253
med_osc,0.1,random_search,breast_cancer,2,0.5666666666666667,0.1666666666666666,0.05275963631707,-0.027724420540402,0.080484056857472
