osc,ctrl_gap,trt_gap,delta_gap,noise_label,noise_rate,searcher,seed
0.9333333333333332,0.0131899090792675,0.0044179792547061,0.0087719298245614,high_osc,0.0,random_search,0
0.9,0.0131899090792675,0.0234344986553977,-0.0102445895761301,high_osc,0.0,random_search,1
0.9333333333333332,0.0219618389038289,-0.0028812908182865,0.0248431297221155,high_osc,0.0,random_search,2
0.8666666666666667,-0.0028812908182865,-0.0116532206428479,0.0087719298245613,high_osc,0.0,random_search,3
0.8333333333333334,0.0044179792547061,0.0044179792547061,0.0,high_osc,0.0,random_search,4
0.8666666666666667,-0.0116532206428479,-0.0174798309642719,0.005826610321424,high_osc,0.0,random_search,5
0.9333333333333332,-0.0116532206428479,-0.027724420540402,0.0160711998975541,high_osc,0.0,random_search,6
0.9666666666666668,0.0058906390062748,6.402868485089197e-05,0.0058266103214239,high_osc,0.0,random_search,7
0.9666666666666668,6.402868485089197e-05,-0.0145345114611346,0.0145985401459854,high_osc,0.0,random_search,8
0.9666666666666668,-0.0116532206428479,-0.0262517607888332,0.0145985401459853,high_osc,0.0,random_search,9
0.9333333333333332,-0.0189524907158405,-0.0101805608912792,-0.0087719298245613,high_osc,0.0,random_search,10
0.9333333333333332,0.0234344986553977,0.0044179792547061,0.0190165194006916,high_osc,0.0,random_search,11
1.0,0.0190805480855422,-0.0247791010372647,0.043859649122807,high_osc,0.0,random_search,12
0.8,0.0044179792547061,-0.0160071712127033,0.0204251504674094,high_osc,0.0,random_search,13
0.7333333333333333,0.0117172493276987,0.0029453195031374,0.0087719298245613,high_osc,0.0,random_search,14
1.0,-0.0379049814316814,-0.0320783711102574,-0.0058266103214239,high_osc,0.0,random_search,15
0.3666666666666666,0.0277884492252529,-0.0028812908182865,0.0306697400435395,high_osc,0.0,random_search,16
0.7666666666666667,-0.0043539505698552,-0.0291970802919707,0.0248431297221155,high_osc,0.0,random_search,17
0.4,0.0277884492252529,0.0204891791522602,0.0072992700729926,high_osc,0.0,random_search,18
1.0,-0.0116532206428479,-0.0320783711102574,0.0204251504674095,high_osc,0.0,random_search,19
0.9666666666666668,0.0044179792547061,0.0044179792547061,0.0,high_osc,0.0,bayesian_opt,0
0.8333333333333334,0.0044179792547061,0.0234344986553977,-0.0190165194006916,high_osc,0.0,bayesian_opt,1
1.0,-0.0014086310667178,-0.0204251504674093,0.0190165194006914,high_osc,0.0,bayesian_opt,2
0.9666666666666668,0.0058906390062748,-0.0101805608912792,0.0160711998975541,high_osc,0.0,bayesian_opt,3
0.8,0.0044179792547061,0.0044179792547061,0.0,high_osc,0.0,bayesian_opt,4
0.9333333333333332,-0.0116532206428479,-0.0262517607888332,0.0145985401459853,high_osc,0.0,bayesian_opt,5
1.0,-0.027724420540402,-0.027724420540402,0.0,high_osc,0.0,bayesian_opt,6
1.0,0.0073632987578435,0.0058906390062748,0.0014726597515687,high_osc,0.0,bayesian_opt,7
1.0,6.402868485089197e-05,-0.023306441285696,0.0233704699705469,high_osc,0.0,bayesian_opt,8
1.0,-0.0189524907158405,-0.0262517607888332,0.0072992700729926,high_osc,0.0,bayesian_opt,9
0.6333333333333333,0.0029453195031374,-0.0014086310667178,0.0043539505698553,high_osc,0.0,bayesian_opt,10
0.9333333333333332,0.0307337687283903,0.0131899090792675,0.0175438596491228,high_osc,0.0,bayesian_opt,11
0.9666666666666668,-0.0087079011397105,-0.023306441285696,0.0145985401459854,high_osc,0.0,bayesian_opt,12
1.0,-0.0014086310667178,-0.0014086310667178,0.0,high_osc,0.0,bayesian_opt,13
0.8333333333333334,-0.0058266103214239,0.0044179792547061,-0.01024458957613,high_osc,0.0,bayesian_opt,14
