osc,ws,ctrl_gap,trt_gap,delta_gap,ctrl_test,trt_test,delta_test,noisy_val_ctrl,noisy_val_trt,noise_label,noise_rate,searcher,seed
0.9333333333333332,0.2333333333333333,0.0131899090792675,0.0044179792547061,0.0087719298245614,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.021897810218978,0.021897810218978,high_osc,0.0,random_search,0
0.9,0.2,0.0131899090792675,0.0234344986553977,-0.0102445895761301,0.0350877192982456,0.0526315789473684,-0.0175438596491228,0.021897810218978,0.0291970802919707,high_osc,0.0,random_search,1
0.9333333333333332,0.3,0.0219618389038289,-0.0028812908182865,0.0248431297221155,0.043859649122807,0.0263157894736841,0.0175438596491228,0.021897810218978,0.0291970802919707,high_osc,0.0,random_search,2
0.8666666666666667,0.1666666666666666,-0.0028812908182865,-0.0116532206428479,0.0087719298245613,0.0263157894736841,0.0175438596491228,0.0087719298245613,0.0291970802919707,0.0291970802919707,high_osc,0.0,random_search,3
0.8333333333333334,0.2333333333333333,0.0044179792547061,0.0044179792547061,0.0,0.0263157894736841,0.0263157894736841,0.0,0.021897810218978,0.021897810218978,high_osc,0.0,random_search,4
0.8666666666666667,0.1333333333333333,-0.0116532206428479,-0.0174798309642719,0.005826610321424,0.0175438596491228,0.0263157894736841,-0.0087719298245613,0.0291970802919707,0.0437956204379561,high_osc,0.0,random_search,5
0.9333333333333332,0.3333333333333333,-0.0116532206428479,-0.027724420540402,0.0160711998975541,0.0175438596491228,0.0087719298245614,0.0087719298245614,0.0291970802919707,0.0364963503649634,high_osc,0.0,random_search,6
0.9666666666666668,0.3666666666666666,0.0058906390062748,6.402868485089197e-05,0.0058266103214239,0.0350877192982456,0.043859649122807,-0.0087719298245614,0.0291970802919707,0.0437956204379561,high_osc,0.0,random_search,7
0.9666666666666668,0.2333333333333333,6.402868485089197e-05,-0.0145345114611346,0.0145985401459854,0.043859649122807,0.043859649122807,0.0,0.0437956204379561,0.0583941605839416,high_osc,0.0,random_search,8
0.9666666666666668,0.2,-0.0116532206428479,-0.0262517607888332,0.0145985401459853,0.0175438596491228,0.0175438596491228,0.0,0.0291970802919707,0.0437956204379561,high_osc,0.0,random_search,9
0.9333333333333332,0.2333333333333333,-0.0189524907158405,-0.0101805608912792,-0.0087719298245613,0.0175438596491228,0.0263157894736841,-0.0087719298245613,0.0364963503649634,0.0364963503649634,high_osc,0.0,random_search,10
0.9333333333333332,0.1,0.0234344986553977,0.0044179792547061,0.0190165194006916,0.0526315789473684,0.0263157894736841,0.0263157894736842,0.0291970802919707,0.021897810218978,high_osc,0.0,random_search,11
1.0,0.0,0.0190805480855422,-0.0247791010372647,0.043859649122807,0.0701754385964912,0.0263157894736841,0.043859649122807,0.0510948905109489,0.0510948905109489,high_osc,0.0,random_search,12
0.8,0.3666666666666666,0.0044179792547061,-0.0160071712127033,0.0204251504674094,0.0263157894736841,0.0350877192982456,-0.0087719298245614,0.021897810218978,0.0510948905109489,high_osc,0.0,random_search,13
0.7333333333333333,0.2,0.0117172493276987,0.0029453195031374,0.0087719298245613,0.0263157894736841,0.0175438596491228,0.0087719298245613,0.0145985401459853,0.0145985401459853,high_osc,0.0,random_search,14
1.0,0.2,-0.0379049814316814,-0.0320783711102574,-0.0058266103214239,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.072992700729927,0.0583941605839416,high_osc,0.0,random_search,15
0.3666666666666666,0.2333333333333333,0.0277884492252529,-0.0028812908182865,0.0306697400435395,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.0072992700729926,0.0291970802919707,high_osc,0.0,random_search,16
0.7666666666666667,0.0333333333333333,-0.0043539505698552,-0.0291970802919707,0.0248431297221155,0.0175438596491228,0.0,0.0175438596491228,0.021897810218978,0.0291970802919707,high_osc,0.0,random_search,17
0.4,0.2666666666666666,0.0277884492252529,0.0204891791522602,0.0072992700729926,0.0350877192982456,0.0350877192982456,0.0,0.0072992700729926,0.0145985401459853,high_osc,0.0,random_search,18
1.0,0.3333333333333333,-0.0116532206428479,-0.0320783711102574,0.0204251504674095,0.0175438596491228,0.0263157894736841,-0.0087719298245613,0.0291970802919707,0.0583941605839416,high_osc,0.0,random_search,19
0.9666666666666668,0.3666666666666666,0.0044179792547061,0.0044179792547061,0.0,0.0263157894736841,0.0263157894736841,0.0,0.021897810218978,0.021897810218978,high_osc,0.0,bayesian_opt,0
0.8333333333333334,0.2,0.0044179792547061,0.0234344986553977,-0.0190165194006916,0.0263157894736841,0.0526315789473684,-0.0263157894736842,0.021897810218978,0.0291970802919707,high_osc,0.0,bayesian_opt,1
1.0,0.2666666666666666,-0.0014086310667178,-0.0204251504674093,0.0190165194006914,0.0350877192982456,0.0087719298245614,0.0263157894736841,0.0364963503649634,0.0291970802919707,high_osc,0.0,bayesian_opt,2
0.9666666666666668,0.0333333333333333,0.0058906390062748,-0.0101805608912792,0.0160711998975541,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.0291970802919707,0.0364963503649634,high_osc,0.0,bayesian_opt,3
0.8,0.2,0.0044179792547061,0.0044179792547061,0.0,0.0263157894736841,0.0263157894736841,0.0,0.021897810218978,0.021897810218978,high_osc,0.0,bayesian_opt,4
0.9333333333333332,0.1,-0.0116532206428479,-0.0262517607888332,0.0145985401459853,0.0175438596491228,0.0175438596491228,0.0,0.0291970802919707,0.0437956204379561,high_osc,0.0,bayesian_opt,5
1.0,0.4,-0.027724420540402,-0.027724420540402,0.0,0.0087719298245614,0.0087719298245614,0.0,0.0364963503649634,0.0364963503649634,high_osc,0.0,bayesian_opt,6
1.0,0.0666666666666666,0.0073632987578435,0.0058906390062748,0.0014726597515687,0.043859649122807,0.0350877192982456,0.0087719298245614,0.0364963503649634,0.0291970802919707,high_osc,0.0,bayesian_opt,7
1.0,0.1,6.402868485089197e-05,-0.023306441285696,0.0233704699705469,0.043859649122807,0.0350877192982456,0.0087719298245614,0.0437956204379561,0.0583941605839416,high_osc,0.0,bayesian_opt,8
1.0,0.2666666666666666,-0.0189524907158405,-0.0262517607888332,0.0072992700729926,0.0175438596491228,0.0175438596491228,0.0,0.0364963503649634,0.0437956204379561,high_osc,0.0,bayesian_opt,9
0.6333333333333333,0.1333333333333333,0.0029453195031374,-0.0014086310667178,0.0043539505698553,0.0175438596491228,0.0350877192982456,-0.0175438596491227,0.0145985401459853,0.0364963503649634,high_osc,0.0,bayesian_opt,10
0.9333333333333332,0.0333333333333333,0.0307337687283903,0.0131899090792675,0.0175438596491228,0.0526315789473684,0.0350877192982456,0.0175438596491228,0.021897810218978,0.021897810218978,high_osc,0.0,bayesian_opt,11
0.9666666666666668,0.3,-0.0087079011397105,-0.023306441285696,0.0145985401459854,0.0350877192982456,0.0350877192982456,0.0,0.0437956204379561,0.0583941605839416,high_osc,0.0,bayesian_opt,12
1.0,0.2333333333333333,-0.0014086310667178,-0.0014086310667178,0.0,0.0350877192982456,0.0350877192982456,0.0,0.0364963503649634,0.0364963503649634,high_osc,0.0,bayesian_opt,13
0.8333333333333334,0.1333333333333333,-0.0058266103214239,0.0044179792547061,-0.01024458957613,0.0087719298245614,0.0263157894736841,-0.0175438596491227,0.0145985401459853,0.021897810218978,high_osc,0.0,bayesian_opt,14
1.0,0.3666666666666666,-0.0160071712127033,-0.0393776411832501,0.0233704699705468,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.0510948905109489,0.0656934306569343,high_osc,0.0,bayesian_opt,15
0.5666666666666667,0.1333333333333333,0.0277884492252529,-0.0101805608912792,0.0379690101165322,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.0072992700729926,0.0364963503649634,high_osc,0.0,bayesian_opt,16
1.0,0.3333333333333333,-0.0291970802919707,-0.0364963503649634,0.0072992700729926,0.0,0.0,0.0,0.0291970802919707,0.0364963503649634,high_osc,0.0,bayesian_opt,17
0.6666666666666666,0.1333333333333333,0.0277884492252529,0.0117172493276987,0.0160711998975541,0.0350877192982456,0.0263157894736841,0.0087719298245614,0.0072992700729926,0.0145985401459853,high_osc,0.0,bayesian_opt,18
1.0,0.5,0.0088359585094123,-0.0189524907158405,0.0277884492252529,0.0526315789473684,0.0175438596491228,0.0350877192982456,0.0437956204379561,0.0364963503649634,high_osc,0.0,bayesian_opt,19
0.8,0.2,0.0234344986553977,-0.0028812908182865,0.0263157894736842,0.0526315789473684,0.0263157894736841,0.0263157894736842,0.0291970802919707,0.0291970802919707,high_osc,0.0,successive_halving,0
0.7333333333333333,0.2666666666666666,0.0234344986553977,0.0131899090792675,0.0102445895761301,0.0526315789473684,0.0350877192982456,0.0175438596491228,0.0291970802919707,0.021897810218978,high_osc,0.0,successive_halving,1
0.9333333333333332,0.0333333333333333,-0.0247791010372647,-0.0101805608912792,-0.0145985401459854,0.0263157894736841,0.0263157894736841,0.0,0.0510948905109489,0.0364963503649634,high_osc,0.0,successive_halving,2
0.9,0.0333333333333333,-0.0014086310667178,-0.0189524907158405,0.0175438596491227,0.0350877192982456,0.0175438596491228,0.0175438596491227,0.0364963503649634,0.0364963503649634,high_osc,0.0,successive_halving,3
0.6666666666666666,0.2,0.0044179792547061,0.0044179792547061,0.0,0.0263157894736841,0.0263157894736841,0.0,0.021897810218978,0.021897810218978,high_osc,0.0,successive_halving,4
0.8333333333333334,0.2333333333333333,-0.0350236906133947,-0.027724420540402,-0.0072992700729926,0.0087719298245614,0.0087719298245614,0.0,0.0437956204379561,0.0364963503649634,high_osc,0.0,successive_halving,5
0.8333333333333334,0.3,-0.027724420540402,-0.0116532206428479,-0.0160711998975541,0.0087719298245614,0.0175438596491228,-0.0087719298245614,0.0364963503649634,0.0291970802919707,high_osc,0.0,successive_halving,6
0.8,0.2666666666666666,0.0058906390062748,0.0146625688308362,-0.0087719298245614,0.0350877192982456,0.043859649122807,-0.0087719298245614,0.0291970802919707,0.0291970802919707,high_osc,0.0,successive_halving,7
0.9666666666666668,0.2,-0.023306441285696,0.0015366884364195,-0.0248431297221155,0.0350877192982456,0.0526315789473684,-0.0175438596491228,0.0583941605839416,0.0510948905109489,high_osc,0.0,successive_halving,8
0.8333333333333334,0.1333333333333333,-0.0116532206428479,-0.0262517607888332,0.0145985401459853,0.0175438596491228,0.0175438596491228,0.0,0.0291970802919707,0.0437956204379561,high_osc,0.0,successive_halving,9
0.9,0.2333333333333333,-0.0189524907158405,-0.0101805608912792,-0.0087719298245613,0.0175438596491228,0.0263157894736841,-0.0087719298245613,0.0364963503649634,0.0364963503649634,high_osc,0.0,successive_halving,10
0.9333333333333332,0.1,0.0234344986553977,0.0073632987578435,0.0160711998975541,0.0526315789473684,0.043859649122807,0.0087719298245614,0.0291970802919707,0.0364963503649634,high_osc,0.0,successive_halving,11
0.9666666666666668,0.0333333333333333,0.0190805480855422,-0.0320783711102574,0.0511589191957997,0.0701754385964912,0.0263157894736841,0.043859649122807,0.0510948905109489,0.0583941605839416,high_osc,0.0,successive_halving,12
0.6333333333333333,0.2666666666666666,0.0044179792547061,0.0058906390062748,-0.0014726597515687,0.0263157894736841,0.0350877192982456,-0.0087719298245614,0.021897810218978,0.0291970802919707,high_osc,0.0,successive_halving,13
