osc,ctrl_val,ctrl_test,ctrl_gap,trt_val,trt_test,trt_gap,delta_test,delta_gap,noise_label,noise_rate,searcher,seed
0.9333333333333333,0.021897810218978075,0.03508771929824561,0.013189909079267537,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.00877192982456143,0.00877192982456143,high_osc,0.0,random_search,0
0.9,0.021897810218978075,0.03508771929824561,0.013189909079267537,0.029197080291970767,0.052631578947368474,0.023434498655397706,-0.01754385964912286,-0.01024458957613017,high_osc,0.0,random_search,1
0.9333333333333333,0.021897810218978075,0.04385964912280704,0.021961838903828967,0.029197080291970767,0.02631578947368418,-0.002881290818286586,0.01754385964912286,0.024843129722115553,high_osc,0.0,random_search,2
0.8666666666666667,0.029197080291970767,0.02631578947368418,-0.002881290818286586,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.00877192982456132,0.00877192982456132,high_osc,0.0,random_search,3
0.8333333333333334,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.0,0.0,high_osc,0.0,random_search,4
0.8666666666666667,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.04379562043795615,0.02631578947368418,-0.01747983096427197,-0.00877192982456132,0.005826610321424064,high_osc,0.0,random_search,5
0.9333333333333333,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.03649635036496346,0.00877192982456143,-0.02772442054040203,0.00877192982456143,0.016071199897554123,high_osc,0.0,random_search,6
0.9666666666666667,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.04379562043795615,0.04385964912280704,6.402868485089197e-05,-0.00877192982456143,0.005826610321423953,high_osc,0.0,random_search,7
0.9666666666666667,0.04379562043795615,0.04385964912280704,6.402868485089197e-05,0.058394160583941646,0.04385964912280704,-0.014534511461134603,0.0,0.014598540145985495,high_osc,0.0,random_search,8
0.9666666666666667,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.04379562043795615,0.01754385964912286,-0.02625176078883329,0.0,0.014598540145985384,high_osc,0.0,random_search,9
0.9333333333333333,0.03649635036496346,0.01754385964912286,-0.018952490715840598,0.03649635036496346,0.02631578947368418,-0.010180560891279278,-0.00877192982456132,-0.00877192982456132,high_osc,0.0,random_search,10
0.9333333333333333,0.029197080291970767,0.052631578947368474,0.023434498655397706,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.026315789473684292,0.0190165194006916,high_osc,0.0,random_search,11
1.0,0.051094890510948954,0.07017543859649122,0.01908054808554227,0.051094890510948954,0.02631578947368418,-0.024779101037264772,0.04385964912280704,0.04385964912280704,high_osc,0.0,random_search,12
0.8,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.051094890510948954,0.03508771929824561,-0.01600717121270334,-0.00877192982456143,0.020425150467409448,high_osc,0.0,random_search,13
0.7333333333333333,0.014598540145985384,0.02631578947368418,0.011717249327698798,0.014598540145985384,0.01754385964912286,0.002945319503137478,0.00877192982456132,0.00877192982456132,high_osc,0.0,random_search,14
1.0,0.07299270072992703,0.03508771929824561,-0.03790498143168142,0.058394160583941646,0.02631578947368418,-0.032078371110257464,0.00877192982456143,-0.005826610321423953,high_osc,0.0,random_search,15
0.36666666666666664,0.007299270072992692,0.03508771929824561,0.02778844922525292,0.029197080291970767,0.02631578947368418,-0.002881290818286586,0.00877192982456143,0.030669740043539506,high_osc,0.0,random_search,16
0.7666666666666667,0.021897810218978075,0.01754385964912286,-0.004353950569855214,0.029197080291970767,0.0,-0.029197080291970767,0.01754385964912286,0.024843129722115553,high_osc,0.0,random_search,17
0.4,0.007299270072992692,0.03508771929824561,0.02778844922525292,0.014598540145985384,0.03508771929824561,0.02048917915226023,0.0,0.007299270072992692,high_osc,0.0,random_search,18
1.0,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.058394160583941646,0.02631578947368418,-0.032078371110257464,-0.00877192982456132,0.02042515046740956,high_osc,0.0,random_search,19
0.9666666666666667,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.0,0.0,high_osc,0.0,bayesian_opt,0
0.8333333333333334,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.029197080291970767,0.052631578947368474,0.023434498655397706,-0.026315789473684292,-0.0190165194006916,high_osc,0.0,bayesian_opt,1
